姓 名,学 号,秋季学期,秋季学期,秋季学期,秋季学期,秋季学期,秋季学期,秋季学期,秋季学期,春季学期,春季学期,春季学期,春季学期,春季学期,春季学期,春季学期,春季学期,春季学期,春季学期,总 评,体能分析
Unnamed: 0_level_1,Unnamed: 1_level_1,单杠1练习,单杠1练习.1,双杠1练习,双杠1练习.1,仰卧起坐,仰卧起坐.1,3000米跑,3000米跑.1,30米×2蛇形跑,30米×2蛇形跑.1,100米跑,100米跑.1,单杠2练习,单杠2练习.1,双杠2练习,双杠2练习.1,徒手组合,徒手组合.1,Unnamed: 20_level_1,类型
,,,,,,,,,,,,,,,,,,,,,全能型
,,成绩,评定,成绩,评定,成绩,评定,成绩,评定,成绩,评定,成绩,评定,成绩,评定,成绩,评定,成绩,评定,,待提高型
,,6,及格,11,良好,60,及格,"13'8""",及格,"20""2",及格,"14""5",及格,6,及格,12,及格,"1'16""",优秀,及格,待提高型
,,15,优秀,20,优秀,68,良好,"11'19""",优秀,"18""7",优秀,"13""3",良好,8,良好,20,优秀,"1'14""",优秀,良好,全能型
,,6,及格,14,良好,54,及格,"12'39""",良好,"18""9",优秀,"13""3",良好,4,不及格,16,良好,"1'15""",优秀,不及格,均衡型
,,6,及格,12,良好,67,良好,"12'13""",良好,"20""6",不及格,"14""1",及格,1,不及格,12,及格,"1'19""",优秀,不及格,耐力型
,,7,及格,6,及格,77,优秀,"13'25""",及格,"19""1",良好,"13""8",及格,6,及格,12,及格,"1'01""",优秀,及格,灵活协调型
,,14,良好,18,优秀,78,优秀,"12'01""",优秀,"18""8",优秀,"13""5",良好,9,优秀,21,优秀,"1'04""",优秀,良好,全能型
,,15,优秀,18,优秀,77,优秀,"12'40""",良好,"18""8",优秀,"13""4",良好,9,优秀,20,优秀,"1'03""",优秀,良好,全能型
,,15,优秀,18,优秀,77,优秀,"11'16""",优秀,"18""8",优秀,"12""2",优秀,9,优秀,20,优秀,"1'05""",优秀,优秀,全能型
,,7,及格,11,良好,77,优秀,"12'59""",及格,"18""8",优秀,"14""1",及格,6,及格,12,及格,"1'10""",优秀,及格,速度型
,,10,良好,18,优秀,68,良好,"12'36""",良好,"18""9",优秀,"13""6",及格,7,良好,20,优秀,"1'14""",优秀,良好,灵活协调型
,,15,优秀,18,优秀,77,优秀,"12'30""",良好,"18""2",优秀,"13""2",良好,8,良好,20,优秀,"1'01""",优秀,良好,全能型
,,12,良好,18,优秀,77,优秀,"12'41""",及格,"19""1",良好,"13""5",良好,6,及格,20,优秀,"1'01""",优秀,及格,力量型
,,5,及格,6,及格,65,良好,"15'06""",不及格,"21""6",不及格,"15""8",不及格,0,不及格,0,不及格,"1'23""",良好,不及格,灵活协调型
,,10,良好,18,优秀,77,优秀,"12'45""",及格,"20""1",及格,"13""5",良好,7,良好,20,优秀,"59""",优秀,及格,力量型
,,14,良好,13,良好,78,优秀,"13'17""",及格,"20""1",及格,"14""5",及格,6,及格,20,优秀,"1'13""",优秀,及格,力量型
,,6,及格,6,及格,68,良好,"12'56""",及格,"20""1",及格,"14""3",及格,6,及格,12,及格,"1'19""",优秀,及格,灵活协调型
,,9,及格,14,良好,68,良好,"12'53""",及格,"18""4",优秀,"14""1",及格,7,良好,15,及格,"1'08""",优秀,及格,速度型
,,6,及格,18,优秀,67,良好,"11'34""",优秀,"18""9",优秀,"13""1",良好,9,优秀,20,优秀,"59""",优秀,良好,全能型
,,15,优秀,18,优秀,74,良好,"11'12""",优秀,"19""6",及格,"12""4",优秀,9,优秀,20,优秀,"1'15""",优秀,良好,全能型
,,10,良好,18,优秀,60,及格,"12'36""",良好,"20""1",及格,"12""4",优秀,7,良好,16,良好,"1'02""",优秀,及格,均衡型
,,16,优秀,18,优秀,67,良好,"12'00""",优秀,"18""4",优秀,"13""0",良好,9,优秀,20,优秀,"1'04""",优秀,优秀,全能型
,,15,优秀,18,优秀,71,良好,"11'37""",优秀,"19""2",良好,"13""6",及格,7,良好,20,优秀,"53""",优秀,良好,灵活协调型
,,15,优秀,18,优秀,65,及格,"10'55""",优秀,"18""1",优秀,"13""1",良好,6,及格,20,优秀,"53""",优秀,及格,均衡型
,,15,优秀,18,优秀,62,及格,"12'33""",良好,"17""9",优秀,"12""6",优秀,7,良好,16,良好,"1'22""",良好,良好,均衡型
,,15,优秀,18,优秀,77,优秀,"11'27""",优秀,"17""8",优秀,"13""0",良好,9,优秀,20,优秀,"55""",优秀,优秀,全能型
,,15,优秀,18,优秀,68,良好,"11'55""",优秀,"19""5",良好,"13""5",良好,9,优秀,20,优秀,"55""",优秀,良好,全能型
,,15,优秀,18,优秀,77,优秀,"12'21""",良好,"18""8",优秀,"14""1",及格,9,优秀,20,优秀,"57""",优秀,良好,全能型
,,15,优秀,18,优秀,77,优秀,"12'28""",良好,"18""7",优秀,"12""6",优秀,9,优秀,20,优秀,"57""",优秀,优秀,全能型
,,15,优秀,18,优秀,77,优秀,"11'59""",优秀,"19""1",良好,"14""5",及格,6,及格,20,优秀,"53""",优秀,及格,全能型
,,11,良好,18,优秀,62,及格,"12'43""",及格,"19""1",良好,"14""1",及格,7,良好,12,及格,"1'11""",优秀,及格,力量型
,,15,优秀,11,良好,78,优秀,"13'20""",及格,"19""7",良好,"14""1",及格,3,不及格,15,及格,"1'00""",优秀,不及格,灵活协调型
,,15,优秀,18,优秀,67,良好,"11'55""",优秀,"18""9",优秀,"12""7",优秀,9,优秀,20,优秀,"54""",优秀,优秀,全能型
,,15,优秀,18,优秀,56,及格,"12'50""",及格,"19""3",良好,"12""5",优秀,6,及格,12,及格,"1'30""",良好,及格,力量型
,,15,优秀,16,良好,71,良好,"11'42""",优秀,"18""1",优秀,"12""9",良好,9,优秀,15,良好,"56""",优秀,良好,全能型
,,11,良好,17,良好,77,优秀,"12'14""",良好,"19""1",良好,"14""1",及格,9,优秀,20,优秀,"1'10""",优秀,良好,灵活协调型
,,7,及格,8,及格,77,优秀,12'07,优秀,20''3,及格,14''1,及格,6,及格,12,及格,1'55,及格,及格,耐力型
,,15,优秀,18,优秀,70,优秀,13'03,及格,19''1,良好,14''4,及格,9,优秀,20,优秀,1'16,优秀,及格,力量型
,,15,优秀,18,优秀,77,优秀,12'06,优秀,18''8,优秀,14''4,及格,9,优秀,20,优秀,1'20,优秀,良好,全能型
,,15,优秀,18,优秀,85,优秀,12'47,及格,19''6,及格,14''2,及格,9,优秀,20,优秀,1'12,优秀,及格,力量型
,,5,及格,6,及格,77,优秀,12'50,及格,19''8,及格,14''1,及格,6,及格,12,及格,1'22,优秀,及格,灵活协调型
,,11,良好,18,优秀,72,优秀,11'48,优秀,19''8,及格,13''3,良好,9,优秀,20,优秀,1'17,优秀,良好,全能型
,,8,及格,16,良好,70,优秀,13'29,及格,20''3,及格,13''8,及格,6,及格,12,及格,1'28,良好,及格,灵活协调型
,,5,及格,17,良好,79,优秀,12'54,及格,20''0,及格,13''7,及格,7,良好,20,优秀,1'10,优秀,及格,力量型
,,15,优秀,19,优秀,89,优秀,11'06,优秀,18''2,优秀,13''2,良好,9,优秀,20,优秀,1'08,优秀,优秀,全能型
,,15,优秀,18,优秀,78,优秀,11'39,优秀,19''5,良好,13''6,及格,9,优秀,20,优秀,1'18,优秀,良好,全能型
,,15,优秀,18,优秀,78,优秀,11'36,优秀,18''9,优秀,13''6,及格,9,优秀,20,优秀,1'20,优秀,良好,全能型
,,15,优秀,14,良好,83,优秀,12'43,及格,19''0,优秀,14''4,及格,9,优秀,20,优秀,1'20,优秀,及格,力量型
,,15,优秀,18,优秀,78,优秀,12'43,及格,19''7,及格,14''0,及格,9,优秀,20,优秀,1'14,优秀,及格,力量型
,,15,优秀,18,优秀,78,优秀,12'09,优秀,18''8,优秀,13''5,良好,9,优秀,20,优秀,1'20,优秀,优秀,全能型
,,15,优秀,17,良好,74,优秀,11'27,优秀,19''2,良好,13''2,良好,6,及格,20,优秀,1'16,优秀,良好,全能型
,,7,及格,6,及格,50,及格,13'02,及格,19''9,及格,14''5,及格,,不及格,,不及格,1'24,良好,不及格,待提高型
,,15,优秀,18,优秀,63,良好,12'29,良好,19''3,良好,13''6,及格,8,良好,20,优秀,1'17,优秀,良好,灵活协调型
,,15,优秀,18,优秀,82,优秀,12'09,优秀,18''8,优秀,14''2,及格,9,优秀,20,优秀,1'05,优秀,良好,全能型
,,13,良好,17,良好,64,良好,12'09,优秀,20''0,及格,14''4,及格,6,及格,12,及格,1'24,良好,及格,灵活协调型
,,7,及格,13,良好,67,良好,12'49,及格,19''5,良好,14''4,及格,7,良好,13,及格,1'17,优秀,及格,灵活协调型
,,6,及格,6,及格,76,优秀,13'04,及格,20''2,及格,14''2,及格,6,及格,,不及格,1'31,良好,不及格,灵活协调型
,,11,良好,7,及格,51,及格,13'20,及格,20''1,及格,14''0,及格,6,及格,12,及格,1'30,良好,及格,待提高型
,,10,良好,6,及格,57,及格,13'26,及格,20''4,及格,,不及格,,不及格,,不及格,1'45,及格,不及格,待提高型
,,15,优秀,18,优秀,57,及格,11'40,优秀,18''9,优秀,13''4,良好,9,优秀,20,优秀,1'20,优秀,良好,全能型
,,15,优秀,18,优秀,77,优秀,,缓考,20''1,及格,14''4,及格,9,优秀,20,优秀,1'40,良好,缓考,力量型
,,13,良好,13,良好,62,良好,12'43,及格,20''0,及格,14''1,及格,6,及格,12,及格,1'18,优秀,及格,灵活协调型
,,15,优秀,20,优秀,78,优秀,11'41,优秀,19''5,良好,13''9,及格,9,优秀,20,优秀,1'25,良好,良好,全能型
,,15,优秀,18,优秀,83,优秀,11'25,优秀,18''8,优秀,13''6,及格,9,优秀,20,优秀,1'30,良好,良好,全能型
,,15,优秀,18,优秀,78,优秀,12'35,良好,19''1,良好,13''9,及格,7,良好,20,优秀,1'22,优秀,良好,灵活协调型
,,15,优秀,18,优秀,78,优秀,"11""42",优秀,17''9,优秀,13''2,良好,9,优秀,20,优秀,1'04,优秀,优秀,全能型
,,15,优秀,18,优秀,77,优秀,12'46,及格,"20""0",及格,"12""2",优秀,6,及格,12,及格,"1'11""",优秀,及格,力量型
,,15,优秀,18,优秀,82,优秀,11'40,优秀,"18""6",优秀,"13""3",良好,9,优秀,18,良好,"1'10""",优秀,良好,全能型
,,6,及格,6,及格,61,及格,12'54,及格,"19""4",良好,"13""7",及格,6,及格,12,及格,"0'53""",优秀,及格,均衡型
,,11,良好,18,优秀,80,优秀,11'52,优秀,"19""2",良好,"13""7",及格,7,良好,16,良好,"0'59""",优秀,良好,全能型
,,15,优秀,20,优秀,83,优秀,11'35,优秀,"19""1",良好,"13""7",及格,9,优秀,20,优秀,"1'02""",优秀,良好,全能型
,,15,优秀,18,优秀,72,良好,11'15,优秀,"18""3",优秀,"13""7",及格,9,优秀,20,优秀,"1'11""",优秀,良好,全能型
,,15,优秀,19,优秀,78,优秀,12'32,良好,"19""2",良好,"13""1",良好,8,良好,13,及格,"1'03""",优秀,良好,灵活协调型
,,15,优秀,40,优秀,85,优秀,12'15,优秀,"19""5",良好,"13""8",及格,9,优秀,20,优秀,"1'02""",优秀,良好,全能型
,,6,及格,9,及格,78,优秀,12'46,及格,"20""1",及格,"14""3",及格,6,及格,12,及格,"1'03""",优秀,及格,灵活协调型
,,16,优秀,17,良好,80,优秀,12'07,优秀,"20""4",及格,"13""5",良好,7,良好,18,良好,"1'04""",优秀,良好,全能型
,,,,,,,,12'35,良好,,,,,,,,,"0'53""",优秀,缓考,全能型
,,6,及格,6,及格,67,良好,12'05,优秀,"19""9",及格,"14""1",及格,7,良好,12,及格,"1'08""",优秀,及格,灵活协调型
,,10,良好,18,优秀,77,优秀,12'08,优秀,"18""4",优秀,"12""3",优秀,6,及格,12,及格,"1'08""",优秀,及格,全能型
,,15,优秀,18,优秀,71,良好,11'36,优秀,"19""5",良好,"13""8",及格,6,及格,13,及格,"0'58""",优秀,及格,灵活协调型
,,15,优秀,19,优秀,78,优秀,12'04,优秀,"18""8",优秀,"13""8",及格,6,及格,12,及格,"0'52""",优秀,及格,全能型
,,16,优秀,18,优秀,77,优秀,12'15,良好,"18""7",优秀,"14""0",及格,7,良好,20,优秀,"0'52""",优秀,良好,全能型
,,24,优秀,18,优秀,80,优秀,12'29,良好,"19""0",优秀,"13""3",良好,9,优秀,20,优秀,"0'54""",优秀,良好,全能型
,,15,优秀,21,优秀,67,良好,12'42,及格,"19""5",良好,"13""8",及格,9,优秀,20,优秀,"0'53""",优秀,及格,力量型
,,15,优秀,18,优秀,77,优秀,11'20,优秀,"18""4",优秀,"12""9",优秀,8,良好,16,良好,"0'49""",优秀,良好,全能型
,,15,优秀,18,优秀,78,优秀,12'06,优秀,"19""4",良好,"13""8",及格,9,优秀,20,优秀,"0'53""",优秀,良好,全能型
,,11,良好,8,及格,56,及格,11'54,优秀,"19""9",及格,"13""5",良好,7,良好,12,及格,"0'52""",优秀,及格,均衡型
,,5,及格,6,及格,77,优秀,12'48,及格,"19""9",及格,"14""4",及格,6,及格,12,及格,"1'01""",优秀,及格,灵活协调型
,,15,优秀,20,优秀,90,优秀,12'04,优秀,"18""7",优秀,"13""9",及格,8,良好,19,良好,"0'54""",优秀,良好,全能型
,,15,优秀,25,优秀,85,优秀,12'33,良好,"17""5",优秀,"12""5",优秀,9,优秀,20,优秀,"0'42""",优秀,优秀,全能型
,,15,优秀,15,良好,77,优秀,13'00,及格,"19""3",良好,"14""2",及格,9,优秀,16,良好,"0'53""",优秀,及格,力量型
,,15,优秀,18,优秀,80,优秀,12'26,良好,"18""9",优秀,"13""8",及格,8,良好,15,及格,"0'48""",优秀,及格,灵活协调型
,,10,良好,18,优秀,78,优秀,11'36,优秀,"19""8",及格,"13""8",及格,6,及格,12,及格,"0'53""",优秀,及格,灵活协调型
,,5,及格,6,及格,67,良好,13'03,及格,"20""4",及格,"14""5",及格,,,,,,,缓考,力量型
,,9,及格,18,优秀,68,良好,11'44,优秀,"18""5",优秀,"13""2",良好,9,优秀,15,及格,"0'59""",优秀,及格,全能型
,,5,及格,6,及格,75,良好,13'01,及格,"18""3",优秀,"14""2",及格,6,及格,12,及格,"0'50""",优秀,及格,速度型
,,5,及格,6,及格,80,优秀,12'28,良好,"18""5",优秀,"13""8",及格,6,及格,12,及格,"1'08""",优秀,及格,耐力型
,,15,优秀,18,优秀,80,优秀,12'19,良好,"19""0",优秀,"13""4",良好,7,良好,20,优秀,"0'40""",优秀,良好,全能型
,,11,良好,18,优秀,77,优秀,12'15,良好,"18""3",优秀,"13""0",良好,9,优秀,20,优秀,"0'42""",优秀,良好,全能型
,,15,优秀,18,优秀,77,优秀,11'46,优秀,"18""3",优秀,"12""8",优秀,9,优秀,20,优秀,"0'44""",优秀,优秀,全能型
,,10,良好,18,优秀,65,及格,11'57,优秀,"20""0",及格,"13""8",及格,7,良好,12,及格,"0'56""",优秀,及格,均衡型
,,15,优秀,17,良好,80,优秀,11'54,优秀,"19""6",及格,"13""3",良好,6,及格,20,优秀,"0'51""",优秀,及格,全能型
,,15,优秀,20,优秀,63,及格,12'23,良好,"20""4",及格,"14""0",及格,9,优秀,20,优秀,"1'00""",优秀,及格,均衡型
,,15,优秀,20,优秀,88,优秀,12'23,良好,"19""4",良好,"12""5",优秀,9,优秀,20,优秀,"1'00""",优秀,良好,全能型
,,5,及格,6,及格,78,优秀,12'44,及格,"20""0",及格,"14""4",及格,6,及格,12,及格,"1'01""",优秀,及格,灵活协调型
,,10,良好,6,及格,77,优秀,12'02,优秀,"19""5",良好,"14""5",及格,6,及格,12,及格,"0'59""",优秀,及格,灵活协调型
,,15,优秀,14,良好,52,及格,13'01,及格,"19""6",及格,"14""4",及格,7,良好,20,优秀,"1'02""",优秀,及格,力量型
,,15,优秀,18,优秀,60,及格,12'49,及格,"18""9",优秀,"14""1",及格,9,优秀,12,及格,"1'02""",优秀,及格,力量型
,,7,及格,24,优秀,78,优秀,11'54,优秀,"18""5",优秀,"13""5",良好,9,优秀,20,优秀,"0'51""",优秀,良好,全能型
,,5,及格,6,及格,77,优秀,13'03,及格,"19""6",及格,"14""3",及格,7,良好,13,及格,"0'50""",优秀,及格,灵活协调型
,,15,优秀,20,优秀,78,优秀,12'47,及格,"19""5",良好,"13""6",及格,8,良好,20,优秀,"0'50""",优秀,及格,力量型
,,15,优秀,18,优秀,78,优秀,11'56,优秀,"19""3",良好,"13""6",及格,9,优秀,20,优秀,"0'53""",优秀,良好,全能型
,,5,及格,6,及格,50,及格,13'40,不及格,"20""2",及格,"15""0",不及格,0,不及格,0,不及格,"1'25""",良好,不及格,待提高型
,,15,优秀,18,优秀,87,优秀,11'24'',优秀,18''4,优秀,13''3,良好,9,优秀,12,及格,1'23'',优秀,良好,全能型
,,22,优秀,18,优秀,88,优秀,11'53'',优秀,18''3,优秀,12''7,优秀,9,优秀,20,优秀,1'08'',优秀,优秀,全能型
,,15,优秀,18,优秀,88,优秀,11'50'',优秀,17''8,优秀,13''5,良好,9,优秀,19,良好,1'21'',优秀,优秀,全能型
,,15,优秀,18,优秀,89,优秀,11'30'',优秀,17''5,优秀,12''5,优秀,9,优秀,20,优秀,1'00'',优秀,优秀,全能型
,,20,优秀,19,优秀,93,优秀,11'13'',优秀,16''2,优秀,12''2,优秀,9,优秀,20,优秀,55'',优秀,优秀,全能型
,,15,优秀,18,优秀,78,优秀,11'30'',优秀,17''7,优秀,12''9,良好,9,优秀,20,优秀,1'05'',优秀,优秀,全能型
,,20,优秀,18,优秀,80,优秀,12'27'',良好,17''8,优秀,12''6,优秀,9,优秀,20,优秀,1'08'',优秀,优秀,全能型
,,15,优秀,18,优秀,79,优秀,11'55'',优秀,17''6,优秀,12''6,优秀,9,优秀,20,优秀,53'',优秀,优秀,全能型
,,15,优秀,19,优秀,88,优秀,12'20'',良好,17''8,优秀,12''6,优秀,9,优秀,20,优秀,1'10'',优秀,优秀,全能型
,,15,优秀,18,优秀,90,优秀,11'24'',优秀,18''5,优秀,14''1,及格,9,优秀,20,优秀,1'03'',优秀,良好,全能型
,,15,优秀,18,优秀,78,优秀,12'30'',良好,18''3,优秀,13''1,良好,8,良好,18,良好,1'05'',优秀,良好,全能型
,,17,优秀,18,优秀,79,优秀,12'30'',良好,18''4,优秀,12''8,优秀,9,优秀,20,优秀,1'07'',优秀,优秀,全能型
,,15,优秀,19,优秀,82,优秀,12'01'',优秀,17''7,优秀,12''6,优秀,9,优秀,20,优秀,1'20'',优秀,优秀,全能型
,,15,优秀,18,优秀,80,优秀,12'20'',良好,19''1,良好,13''4,良好,9,优秀,14,及格,1'07'',优秀,良好,全能型
,,24,优秀,19,优秀,87,优秀,12'10'',优秀,17''9,优秀,12''8,优秀,9,优秀,20,优秀,1'00'',优秀,优秀,全能型
,,17,优秀,18,优秀,78,优秀,12'00'',优秀,18''0,优秀,12''8,优秀,9,优秀,20,优秀,1'00'',优秀,优秀,全能型
,,22,优秀,19,优秀,89,优秀,11'10'',优秀,18''3,优秀,11''9,优秀,9,优秀,20,优秀,57'',优秀,优秀,全能型
,,17,优秀,20,优秀,87,优秀,11'50'',优秀,17''7,优秀,12''5,优秀,9,优秀,20,优秀,1'15'',优秀,优秀,全能型
,,15,优秀,19,优秀,80,优秀,11'20'',优秀,17''2,优秀,11''9,优秀,9,优秀,20,优秀,57'',优秀,优秀,全能型
,,16,优秀,20,优秀,80,优秀,11'58'',优秀,18''5,优秀,13''4,良好,9,优秀,20,优秀,1'03'',优秀,优秀,全能型
,,20,优秀,18,优秀,88,优秀,11'50'',优秀,17''5,优秀,13''0,良好,9,优秀,20,优秀,1'05'',优秀,优秀,全能型
,,5,及格,7,及格,81,优秀,12'05,优秀,19''8,及格,14''40,及格,6,及格,12,及格,1'37,良好,及格,耐力型
,,16,优秀,25,优秀,86,优秀,12'56,及格,17''9,优秀,13''01,良好,9,优秀,20,优秀,1'17,优秀,良好,全能型
,,13,良好,20,优秀,95,优秀,11'03,优秀,19''1,良好,13''03,良好,9,优秀,20,优秀,1'11,优秀,良好,全能型
,,16,优秀,15,良好,90,优秀,11'25,优秀,17''9,优秀,13''06,及格,9,优秀,20,优秀,1'06,优秀,良好,全能型
,,8,及格,12,良好,77,优秀,13'08,及格,18''9,优秀,14''03,及格,6,及格,缓考,,1'02,优秀,,速度型
,,15,优秀,20,优秀,73,良好,11'46,优秀,19''2,良好,13''04,良好,9,优秀,20,优秀,1'09,优秀,良好,全能型
,,15,优秀,12,良好,63,及格,13'14,及格,19''0,优秀,13''08,及格,6,及格,12,及格,1'28,良好,及格,速度型
,,19,优秀,22,优秀,83,优秀,12'05,优秀,18''6,优秀,13''04,良好,9,优秀,20,优秀,58'',优秀,优秀,全能型
,,10,良好,17,良好,96,优秀,12'43,及格,20''4,及格,14''03,及格,6,及格,15,及格,1'07,优秀,及格,灵活协调型
,,25,优秀,30,优秀,78,优秀,12'47,及格,19''3,良好,14''02,及格,9,优秀,22,优秀,1'10,优秀,及格,力量型
,,14,良好,15,良好,95,优秀,11'47,优秀,18''2,优秀,13''05,良好,9,优秀,18,良好,1'01,优秀,良好,全能型
,,18,优秀,19,优秀,85,优秀,11'44,优秀,18''6,优秀,12''09,良好,9,优秀,20,优秀,53'',优秀,优秀,全能型
,,15,优秀,18,优秀,97,优秀,11'35,优秀,18''4,优秀,12''09,良好,7,良好,18,良好,1'02,优秀,良好,全能型
,,15,优秀,22,优秀,107,优秀,11'39,优秀,19''8,及格,14''03,及格,10,优秀,20,优秀,1'16,优秀,及格,全能型
,,26,优秀,30,优秀,93,优秀,12'34,良好,18''7,优秀,13''02,良好,9,优秀,21,优秀,1'04,优秀,良好,全能型
,,20,优秀,19,优秀,95,优秀,12'22,良好,18''7,优秀,12''08,优秀,9,优秀,20,优秀,1'06,优秀,优秀,全能型
,,9,及格,20,优秀,84,优秀,12'09,优秀,19''3,良好,14''01,及格,9,优秀,16,良好,1'11,优秀,及格,全能型
